slug,title,disorder,active_pair,doi,doi_url,zenodo_url,deposition_id,record_id,github_url,pdf_file,published
major_depressive_disorder,Mechanism-Guided Discovery of agomelatine + vilazodone for Major Depressive Disorder,Major Depressive Disorder,agomelatine + vilazodone,10.5281/zenodo.20609271,https://doi.org/10.5281/zenodo.20609271,https://zenodo.org/records/20609271,20609271,20609271,https://github.com/danbroz/Med-discovery-public/tree/main/major_depressive_disorder,major_depressive_disorder.pdf,True
schizophrenia,Mechanism-Guided Discovery of pimavanserin + perospirone for Schizophrenia,Schizophrenia,pimavanserin + perospirone,10.5281/zenodo.20609275,https://doi.org/10.5281/zenodo.20609275,https://zenodo.org/records/20609275,20609275,20609275,https://github.com/danbroz/Med-discovery-public/tree/main/schizophrenia,schizophrenia.pdf,True
insomnia_disorder,Mechanism-Guided Discovery of suvorexant + agomelatine for Insomnia Disorder,Insomnia Disorder,suvorexant + agomelatine,10.5281/zenodo.20609277,https://doi.org/10.5281/zenodo.20609277,https://zenodo.org/records/20609277,20609277,20609277,https://github.com/danbroz/Med-discovery-public/tree/main/insomnia_disorder,insomnia_disorder.pdf,True
bipolar_i_disorder,Mechanism-Guided Discovery of agomelatine + perospirone for Bipolar I Disorder,Bipolar I Disorder,agomelatine + perospirone,10.5281/zenodo.20609280,https://doi.org/10.5281/zenodo.20609280,https://zenodo.org/records/20609280,20609280,20609280,https://github.com/danbroz/Med-discovery-public/tree/main/bipolar_i_disorder,bipolar_i_disorder.pdf,True
alzheimer_s_disease_ncd,Mechanism-Guided Discovery of pitolisant + xanomeline for Alzheimer's Disease Neurocognitive Disorder,Alzheimer's Disease Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609283,https://doi.org/10.5281/zenodo.20609283,https://zenodo.org/records/20609283,20609283,20609283,https://github.com/danbroz/Med-discovery-public/tree/main/alzheimer_s_disease_ncd,alzheimer_s_disease_ncd.pdf,True
generalized_anxiety_disorder,Mechanism-Guided Discovery of agomelatine + vilazodone for Generalized Anxiety Disorder,Generalized Anxiety Disorder,agomelatine + vilazodone,10.5281/zenodo.20609285,https://doi.org/10.5281/zenodo.20609285,https://zenodo.org/records/20609285,20609285,20609285,https://github.com/danbroz/Med-discovery-public/tree/main/generalized_anxiety_disorder,generalized_anxiety_disorder.pdf,True
erectile_disorder,Mechanism-Guided Discovery of mianserin + testosterone propionate for Erectile Disorder,Erectile Disorder,mianserin + testosterone propionate,10.5281/zenodo.20609289,https://doi.org/10.5281/zenodo.20609289,https://zenodo.org/records/20609289,20609289,20609289,https://github.com/danbroz/Med-discovery-public/tree/main/erectile_disorder,erectile_disorder.pdf,True
bipolar_ii_disorder,Mechanism-Guided Discovery of agomelatine + perospirone for Bipolar II Disorder,Bipolar II Disorder,agomelatine + perospirone,10.5281/zenodo.20609293,https://doi.org/10.5281/zenodo.20609293,https://zenodo.org/records/20609293,20609293,20609293,https://github.com/danbroz/Med-discovery-public/tree/main/bipolar_ii_disorder,bipolar_ii_disorder.pdf,True
major_neurocognitive_disorder,Mechanism-Guided Discovery of pitolisant + xanomeline for Major Neurocognitive Disorder,Major Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609295,https://doi.org/10.5281/zenodo.20609295,https://zenodo.org/records/20609295,20609295,20609295,https://github.com/danbroz/Med-discovery-public/tree/main/major_neurocognitive_disorder,major_neurocognitive_disorder.pdf,True
parkinson_s_disease_ncd,Mechanism-Guided Discovery of pitolisant + xanomeline for Parkinson's Disease Neurocognitive Disorder,Parkinson's Disease Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609297,https://doi.org/10.5281/zenodo.20609297,https://zenodo.org/records/20609297,20609297,20609297,https://github.com/danbroz/Med-discovery-public/tree/main/parkinson_s_disease_ncd,parkinson_s_disease_ncd.pdf,True
