slug,title,disorder,active_pair,doi,doi_url,zenodo_url,deposition_id,record_id,github_url,pdf_file,published
intermittent_explosive_disorder,Mechanism-Guided Discovery of perospirone + oxymetazoline for Intermittent Explosive Disorder,Intermittent Explosive Disorder,perospirone + oxymetazoline,10.5281/zenodo.20708188,https://doi.org/10.5281/zenodo.20708188,https://zenodo.org/records/20708188,20708188,20708188,https://github.com/danbroz/Med-discovery-public/tree/main/intermittent_explosive_disorder,intermittent_explosive_disorder.pdf,True
body_dysmorphic_disorder,Mechanism-Guided Discovery of pimavanserin + vilazodone for Body Dysmorphic Disorder,Body Dysmorphic Disorder,pimavanserin + vilazodone,10.5281/zenodo.20708190,https://doi.org/10.5281/zenodo.20708190,https://zenodo.org/records/20708190,20708190,20708190,https://github.com/danbroz/Med-discovery-public/tree/main/body_dysmorphic_disorder,body_dysmorphic_disorder.pdf,True
hoarding_disorder,Mechanism-Guided Discovery of vilazodone + pimavanserin for Hoarding Disorder,Hoarding Disorder,vilazodone + pimavanserin,10.5281/zenodo.20708192,https://doi.org/10.5281/zenodo.20708192,https://zenodo.org/records/20708192,20708192,20708192,https://github.com/danbroz/Med-discovery-public/tree/main/hoarding_disorder,hoarding_disorder.pdf,True
excoriation_skin_picking_disorder,Mechanism-Guided Discovery of vilazodone + pimavanserin for Excoriation (Skin Picking) Disorder,Excoriation (Skin Picking) Disorder,vilazodone + pimavanserin,10.5281/zenodo.20708194,https://doi.org/10.5281/zenodo.20708194,https://zenodo.org/records/20708194,20708194,20708194,https://github.com/danbroz/Med-discovery-public/tree/main/excoriation_skin_picking_disorder,excoriation_skin_picking_disorder.pdf,True
brief_psychotic_disorder,Mechanism-Guided Discovery of xanomeline + perospirone for Brief Psychotic Disorder,Brief Psychotic Disorder,xanomeline + perospirone,10.5281/zenodo.20708196,https://doi.org/10.5281/zenodo.20708196,https://zenodo.org/records/20708196,20708196,20708196,https://github.com/danbroz/Med-discovery-public/tree/main/brief_psychotic_disorder,brief_psychotic_disorder.pdf,True
prolonged_grief_disorder,Mechanism-Guided Discovery of agomelatine + vilazodone for Prolonged Grief Disorder,Prolonged Grief Disorder,agomelatine + vilazodone,10.5281/zenodo.20708198,https://doi.org/10.5281/zenodo.20708198,https://zenodo.org/records/20708198,20708198,20708198,https://github.com/danbroz/Med-discovery-public/tree/main/prolonged_grief_disorder,prolonged_grief_disorder.pdf,True
illness_anxiety_disorder,Mechanism-Guided Discovery of agomelatine + vilazodone for Illness Anxiety Disorder,Illness Anxiety Disorder,agomelatine + vilazodone,10.5281/zenodo.20708200,https://doi.org/10.5281/zenodo.20708200,https://zenodo.org/records/20708200,20708200,20708200,https://github.com/danbroz/Med-discovery-public/tree/main/illness_anxiety_disorder,illness_anxiety_disorder.pdf,True
somatic_symptom_disorder,Mechanism-Guided Discovery of vilazodone + betaxolol for Somatic Symptom Disorder,Somatic Symptom Disorder,vilazodone + betaxolol,10.5281/zenodo.20708202,https://doi.org/10.5281/zenodo.20708202,https://zenodo.org/records/20708202,20708202,20708202,https://github.com/danbroz/Med-discovery-public/tree/main/somatic_symptom_disorder,somatic_symptom_disorder.pdf,True
functional_neurological_symptom_disorder,Mechanism-Guided Discovery of vilazodone + betaxolol for Functional Neurological Symptom Disorder,Functional Neurological Symptom Disorder,vilazodone + betaxolol,10.5281/zenodo.20708204,https://doi.org/10.5281/zenodo.20708204,https://zenodo.org/records/20708204,20708204,20708204,https://github.com/danbroz/Med-discovery-public/tree/main/functional_neurological_symptom_disorder,functional_neurological_symptom_disorder.pdf,True
female_orgasmic_disorder,Mechanism-Guided Discovery of sufentanil + mianserin for Female Orgasmic Disorder,Female Orgasmic Disorder,sufentanil + mianserin,10.5281/zenodo.20708206,https://doi.org/10.5281/zenodo.20708206,https://zenodo.org/records/20708206,20708206,20708206,https://github.com/danbroz/Med-discovery-public/tree/main/female_orgasmic_disorder,female_orgasmic_disorder.pdf,True
