rank,slug,docket,application,application_status,customer_number,title,disorder,active_pair,doi,doi_url,zenodo_url,github_url,published,paper_status,patent_status
1,major_depressive_disorder,MHMDCNS-001,"64/090,703",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Major Depressive Disorder with a combination of agomelatine and vilazodone,Major Depressive Disorder,agomelatine + vilazodone,10.5281/zenodo.20609271,https://doi.org/10.5281/zenodo.20609271,https://zenodo.org/records/20609271,https://github.com/danbroz/Med-discovery-public/tree/main/major_depressive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
2,schizophrenia,MHMDCNS-002,"64/090,717",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Schizophrenia with a combination of pimavanserin and perospirone,Schizophrenia,pimavanserin + perospirone,10.5281/zenodo.20609275,https://doi.org/10.5281/zenodo.20609275,https://zenodo.org/records/20609275,https://github.com/danbroz/Med-discovery-public/tree/main/schizophrenia,True,DOI-indexed Zenodo preprint,US provisional patent pending
3,insomnia_disorder,MHMDCNS-003,"64/090,721",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Insomnia Disorder with a combination of suvorexant and agomelatine,Insomnia Disorder,suvorexant + agomelatine,10.5281/zenodo.20609277,https://doi.org/10.5281/zenodo.20609277,https://zenodo.org/records/20609277,https://github.com/danbroz/Med-discovery-public/tree/main/insomnia_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
4,bipolar_i_disorder,MHMDCNS-004,"64/090,727",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Bipolar I Disorder with a combination of agomelatine and perospirone,Bipolar I Disorder,agomelatine + perospirone,10.5281/zenodo.20609280,https://doi.org/10.5281/zenodo.20609280,https://zenodo.org/records/20609280,https://github.com/danbroz/Med-discovery-public/tree/main/bipolar_i_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
5,alzheimer_s_disease_ncd,MHMDCNS-005,"64/090,728",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Alzheimer's Disease Neurocognitive Disorder with a combination of pitolisant and xanomeline,Alzheimer's Disease Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609283,https://doi.org/10.5281/zenodo.20609283,https://zenodo.org/records/20609283,https://github.com/danbroz/Med-discovery-public/tree/main/alzheimer_s_disease_ncd,True,DOI-indexed Zenodo preprint,US provisional patent pending
6,generalized_anxiety_disorder,MHMDCNS-006,"64/090,731",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Generalized Anxiety Disorder with a combination of agomelatine and vilazodone,Generalized Anxiety Disorder,agomelatine + vilazodone,10.5281/zenodo.20609285,https://doi.org/10.5281/zenodo.20609285,https://zenodo.org/records/20609285,https://github.com/danbroz/Med-discovery-public/tree/main/generalized_anxiety_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
7,erectile_disorder,MHMDCNS-007,"64/090,733",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Erectile Disorder with a combination of mianserin and testosterone propionate,Erectile Disorder,mianserin + testosterone propionate,10.5281/zenodo.20609289,https://doi.org/10.5281/zenodo.20609289,https://zenodo.org/records/20609289,https://github.com/danbroz/Med-discovery-public/tree/main/erectile_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
8,bipolar_ii_disorder,MHMDCNS-008,"64/090,736",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Bipolar II Disorder with a combination of agomelatine and perospirone,Bipolar II Disorder,agomelatine + perospirone,10.5281/zenodo.20609293,https://doi.org/10.5281/zenodo.20609293,https://zenodo.org/records/20609293,https://github.com/danbroz/Med-discovery-public/tree/main/bipolar_ii_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
9,major_neurocognitive_disorder,MHMDCNS-009,"64/090,746",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Major Neurocognitive Disorder with a combination of pitolisant and xanomeline,Major Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609295,https://doi.org/10.5281/zenodo.20609295,https://zenodo.org/records/20609295,https://github.com/danbroz/Med-discovery-public/tree/main/major_neurocognitive_disorder,True,DOI-indexed Zenodo preprint,US provisional patent pending
10,parkinson_s_disease_ncd,MHMDCNS-010,"64/090,749",Application Undergoing Preexam Processing,234900,Pharmaceutical compositions and methods of treating Parkinson's Disease Neurocognitive Disorder with a combination of pitolisant and xanomeline,Parkinson's Disease Neurocognitive Disorder,pitolisant + xanomeline,10.5281/zenodo.20609297,https://doi.org/10.5281/zenodo.20609297,https://zenodo.org/records/20609297,https://github.com/danbroz/Med-discovery-public/tree/main/parkinson_s_disease_ncd,True,DOI-indexed Zenodo preprint,US provisional patent pending
